Gene stable ID	Transcript stable ID	Gene description	Gene type	Transcript type
WBGene00000010	Y53H1C.1b	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_001021788]	protein_coding	protein_coding
WBGene00000012	C50F2.9	Antibacterial factor-related peptide 1  [Source:UniProtKB/Swiss-Prot;Acc:G5EGC4]	protein_coding	protein_coding
WBGene00000013	C50F2.10	Antibacterial factor-related peptide 2  [Source:UniProtKB/Swiss-Prot;Acc:G5EC68]	protein_coding	protein_coding
WBGene00000014	F54B8.5	AntiBacterial Factor related  [Source:RefSeq peptide;Acc:NP_506950]	protein_coding	protein_coding
WBGene00000015	Y38H6C.22	AntiBacterial Factor related  [Source:RefSeq peptide;Acc:NP_507965]	protein_coding	protein_coding
WBGene00000016	T22H6.5	AntiBacterial Factor related  [Source:RefSeq peptide;Acc:NP_510136]	protein_coding	protein_coding
WBGene00000017	T22H6.7	AntiBacterial Factor related  [Source:RefSeq peptide;Acc:NP_741914]	protein_coding	protein_coding
WBGene00000018	M79.1a	Tyrosine-protein kinase abl-1  [Source:UniProtKB/Swiss-Prot;Acc:P03949]	protein_coding	protein_coding
WBGene00000018	M79.1b	Tyrosine-protein kinase abl-1  [Source:UniProtKB/Swiss-Prot;Acc:P03949]	protein_coding	protein_coding
WBGene00000018	M79.1c	Tyrosine-protein kinase abl-1  [Source:UniProtKB/Swiss-Prot;Acc:P03949]	protein_coding	protein_coding
WBGene00000019	C24F3.5a	ABC Transporter family  [Source:RefSeq peptide;Acc:NP_001293854]	protein_coding	protein_coding
WBGene00000019	C24F3.5b	ABC Transporter family  [Source:RefSeq peptide;Acc:NP_001293854]	protein_coding	protein_coding
WBGene00000020	F12B6.1a	ABC Transporter family  [Source:RefSeq peptide;Acc:NP_001293361]	protein_coding	protein_coding
WBGene00000020	F12B6.1b	ABC Transporter family  [Source:RefSeq peptide;Acc:NP_001293361]	protein_coding	protein_coding
WBGene00000021	F55G11.9		pseudogene	pseudogene
WBGene00000022	Y39D8C.1	ABC Transporter family  [Source:RefSeq peptide;Acc:NP_503175]	protein_coding	protein_coding
WBGene00000023	Y53C10A.9	ABC Transporter family  [Source:RefSeq peptide;Acc:NP_493041]	protein_coding	protein_coding
WBGene00000024	AC3.3	Activated in Blocked Unfolded protein response  [Source:RefSeq peptide;Acc:NP_505667]	protein_coding	protein_coding
WBGene00000025	F19G12.7	Activated in Blocked Unfolded protein response  [Source:RefSeq peptide;Acc:NP_508265]	protein_coding	protein_coding
WBGene00000026	F31A3.1	Activated in Blocked Unfolded protein response  [Source:RefSeq peptide;Acc:NP_510839]	protein_coding	protein_coding
WBGene00000027	Y5H2A.3	Activated in Blocked Unfolded protein response  [Source:RefSeq peptide;Acc:NP_872210]	protein_coding	protein_coding
WBGene00000028	Y105C5A.4	Activated in Blocked Unfolded protein response  [Source:RefSeq peptide;Acc:NP_502873]	protein_coding	protein_coding
WBGene00000029	C03A7.7	Activated in Blocked Unfolded protein response  [Source:RefSeq peptide;Acc:NP_504383]	protein_coding	protein_coding
WBGene00000030	C03A7.8	Activated in Blocked Unfolded protein response  [Source:RefSeq peptide;Acc:NP_504384]	protein_coding	protein_coding
WBGene00000031	C03A7.14	Activated in Blocked Unfolded protein response  [Source:RefSeq peptide;Acc:NP_504393]	protein_coding	protein_coding
WBGene00000032	R09F10.2	Activated in Blocked Unfolded protein response  [Source:RefSeq peptide;Acc:NP_509407]	protein_coding	protein_coding
WBGene00000033	F35A5.3	Activated in Blocked Unfolded protein response  [Source:RefSeq peptide;Acc:NP_508659]	protein_coding	protein_coding
WBGene00000034	T01D1.6	Activated in Blocked Unfolded protein response  [Source:RefSeq peptide;Acc:NP_493679]	protein_coding	protein_coding
WBGene00000035	W09B12.1.1	Acetylcholinesterase 1  [Source:UniProtKB/Swiss-Prot;Acc:P38433]	protein_coding	protein_coding
WBGene00000035	W09B12.1.2	Acetylcholinesterase 1  [Source:UniProtKB/Swiss-Prot;Acc:P38433]	protein_coding	protein_coding
WBGene00000036	Y44E3A.2	Carboxylic ester hydrolase  [Source:RefSeq peptide;Acc:NP_491141]	protein_coding	protein_coding
WBGene00000037	Y48B6A.8	Carboxylic ester hydrolase  [Source:RefSeq peptide;Acc:NP_496963]	protein_coding	protein_coding
WBGene00000038	Y48B6A.7	Carboxylic ester hydrolase  [Source:RefSeq peptide;Acc:NP_496962]	protein_coding	protein_coding
WBGene00000039	C42D8.5a	Inactive angiotensin-converting enzyme-related protein  [Source:UniProtKB/Swiss-Prot;Acc:Q18581]	protein_coding	protein_coding
WBGene00000039	C42D8.5b	Inactive angiotensin-converting enzyme-related protein  [Source:UniProtKB/Swiss-Prot;Acc:Q18581]	protein_coding	protein_coding
WBGene00000040	ZK455.1	Probable cytoplasmic aconitate hydratase  [Source:UniProtKB/Swiss-Prot;Acc:Q23500]	protein_coding	protein_coding
WBGene00000041	F54H12.1a	Probable aconitate hydratase, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P34455]	protein_coding	protein_coding
WBGene00000041	F54H12.1b	Probable aconitate hydratase, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P34455]	protein_coding	protein_coding
WBGene00000041	F54H12.1c.1	Probable aconitate hydratase, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P34455]	protein_coding	protein_coding
WBGene00000041	F54H12.1c.2	Probable aconitate hydratase, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P34455]	protein_coding	protein_coding
WBGene00000042	K11G12.2	Acetylcholine receptor subunit beta-type acr-2  [Source:UniProtKB/Swiss-Prot;Acc:P48182]	protein_coding	protein_coding
WBGene00000043	K11G12.7	Acetylcholine receptor subunit beta-type acr-3  [Source:UniProtKB/Swiss-Prot;Acc:Q93149]	protein_coding	protein_coding
WBGene00000044	K03F8.2	Acetylcholine receptor subunit alpha-type acr-5  [Source:UniProtKB/Swiss-Prot;Acc:P54246]	protein_coding	protein_coding
WBGene00000045	ZK973.5	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_491354]	protein_coding	protein_coding
WBGene00000046	T09A5.3	Acetylcholine receptor subunit alpha-type acr-7  [Source:UniProtKB/Swiss-Prot;Acc:P45963]	protein_coding	protein_coding
WBGene00000047	ZC504.2	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_509745]	protein_coding	protein_coding
WBGene00000048	C40C9.2	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_510285]	protein_coding	protein_coding
WBGene00000049	R02E12.8	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_508692]	protein_coding	protein_coding
WBGene00000050	D2092.3	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_491906]	protein_coding	protein_coding
WBGene00000051	R01E6.4a	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_510262]	protein_coding	protein_coding
WBGene00000051	R01E6.4b	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_510262]	protein_coding	protein_coding
WBGene00000053	T05C12.2	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_495716]	protein_coding	protein_coding
WBGene00000054	F25G6.4	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_505206]	protein_coding	protein_coding
WBGene00000055	F25G6.3	Acetylcholine receptor subunit alpha-type acr-16  [Source:UniProtKB/Swiss-Prot;Acc:P48180]	protein_coding	protein_coding
WBGene00000056	F53E10.2a	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_001023961]	protein_coding	protein_coding
WBGene00000056	F53E10.2b	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_001023961]	protein_coding	protein_coding
WBGene00000057	F28F8.1	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_506868]	protein_coding	protein_coding
WBGene00000058	C31H5.3a	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_492429]	protein_coding	protein_coding
WBGene00000058	C31H5.3b	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_492429]	protein_coding	protein_coding
WBGene00000059	R06A4.10a	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_001022272]	protein_coding	protein_coding
WBGene00000059	R06A4.10b	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_001022272]	protein_coding	protein_coding
WBGene00000059	R06A4.10c	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_001022272]	protein_coding	protein_coding
WBGene00000060	F27B3.2	AcetylCholine Receptor  [Source:RefSeq peptide;Acc:NP_498452]	protein_coding	protein_coding
WBGene00000061	F48E3.7	Ligand-Gated ion Channel  [Source:RefSeq peptide;Acc:NP_509270]	protein_coding	protein_coding
WBGene00000062	F59B1.9	Betaine receptor acr-23  [Source:UniProtKB/Swiss-Prot;Acc:G5EG88]	protein_coding	protein_coding
WBGene00000063	T04C12.6.1	Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41]	protein_coding	protein_coding
WBGene00000063	T04C12.6.2	Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41]	protein_coding	protein_coding
WBGene00000063	T04C12.6.3	Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41]	protein_coding	protein_coding
WBGene00000063	T04C12.6.4	Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41]	protein_coding	protein_coding
WBGene00000064	T04C12.5.1	Actin-2  [Source:UniProtKB/Swiss-Prot;Acc:P10984]	protein_coding	protein_coding
WBGene00000064	T04C12.5.2	Actin-2  [Source:UniProtKB/Swiss-Prot;Acc:P10984]	protein_coding	protein_coding
WBGene00000065	T04C12.4.1	Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41]	protein_coding	protein_coding
WBGene00000065	T04C12.4.2	Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41]	protein_coding	protein_coding
WBGene00000065	T04C12.4.3	Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41]	protein_coding	protein_coding
WBGene00000066	M03F4.2a	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	protein_coding	protein_coding
WBGene00000066	M03F4.2b.1	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	protein_coding	protein_coding
WBGene00000066	M03F4.2b.2	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	protein_coding	protein_coding
WBGene00000066	M03F4.2b.3	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	protein_coding	protein_coding
WBGene00000066	M03F4.2b.4	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	protein_coding	protein_coding
WBGene00000066	M03F4.2b.5	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	protein_coding	protein_coding
WBGene00000066	M03F4.2b.6	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	protein_coding	protein_coding
WBGene00000066	M03F4.2c	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	protein_coding	protein_coding
WBGene00000067	T25C8.2.1	ACTin  [Source:RefSeq peptide;Acc:NP_499809]	protein_coding	protein_coding
WBGene00000067	T25C8.2.2	ACTin  [Source:RefSeq peptide;Acc:NP_499809]	protein_coding	protein_coding
WBGene00000068	F17C8.1	Adenylyl CYclase  [Source:RefSeq peptide;Acc:NP_497970]	protein_coding	protein_coding
WBGene00000069	C10F3.3	Adenylyl CYclase  [Source:RefSeq peptide;Acc:NP_504553]	protein_coding	protein_coding
WBGene00000070	C44F1.5	Adenylyl CYclase  [Source:RefSeq peptide;Acc:NP_497765]	protein_coding	protein_coding
WBGene00000071	T01C2.1	Adenylyl CYclase  [Source:RefSeq peptide;Acc:NP_504486]	protein_coding	protein_coding
WBGene00000072	F39C12.2a	Adducin-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U9K0]	protein_coding	protein_coding
WBGene00000072	F39C12.2b	Adducin-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U9K0]	protein_coding	protein_coding
WBGene00000072	F39C12.2c	Adducin-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U9K0]	protein_coding	protein_coding
WBGene00000072	F39C12.2d	Adducin-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U9K0]	protein_coding	protein_coding
WBGene00000072	F39C12.2e	Adducin-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U9K0]	protein_coding	protein_coding
WBGene00000073	F57F5.4a.1	Adducin-related protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q20952]	protein_coding	protein_coding
WBGene00000073	F57F5.4a.2	Adducin-related protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q20952]	protein_coding	protein_coding
WBGene00000073	F57F5.4b	Adducin-related protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q20952]	protein_coding	protein_coding
WBGene00000074	C04A11.4	ADAM (disintegrin plus metalloprotease) family  [Source:RefSeq peptide;Acc:NP_510291]	protein_coding	protein_coding
WBGene00000075	ZK154.7	ADAM (disintegrin plus metalloprotease) family  [Source:RefSeq peptide;Acc:NP_509318]	protein_coding	protein_coding
WBGene00000079	H15N14.1c	Adenosine Deaminase acting on RNA  [Source:RefSeq peptide;Acc:NP_492153]	protein_coding	protein_coding
WBGene00000079	H15N14.1d	Adenosine Deaminase acting on RNA  [Source:RefSeq peptide;Acc:NP_492153]	protein_coding	protein_coding
WBGene00000079	H15N14.1e	Adenosine Deaminase acting on RNA  [Source:RefSeq peptide;Acc:NP_492153]	protein_coding	protein_coding
WBGene00000079	H15N14.1f	Adenosine Deaminase acting on RNA  [Source:RefSeq peptide;Acc:NP_492153]	protein_coding	protein_coding
WBGene00000079	H15N14.1g	Adenosine Deaminase acting on RNA  [Source:RefSeq peptide;Acc:NP_492153]	protein_coding	protein_coding
WBGene00000080	T20H4.4	Probable double-stranded RNA-specific adenosine deaminase  [Source:UniProtKB/Swiss-Prot;Acc:Q22618]	protein_coding	protein_coding
WBGene00000081	Y50D7A.7	Alkyldihydroxyacetonephosphate synthase  [Source:UniProtKB/Swiss-Prot;Acc:O45218]	protein_coding	protein_coding
WBGene00000082	C02B4.1	ADAMTS family  [Source:RefSeq peptide;Acc:NP_510116]	protein_coding	protein_coding
WBGene00000083	F08C6.1a.1	ADAMTS family  [Source:RefSeq peptide;Acc:NP_001024532]	protein_coding	protein_coding
WBGene00000083	F08C6.1a.2	ADAMTS family  [Source:RefSeq peptide;Acc:NP_001024532]	protein_coding	protein_coding
WBGene00000083	F08C6.1b	ADAMTS family  [Source:RefSeq peptide;Acc:NP_001024532]	protein_coding	protein_coding
WBGene00000083	F08C6.1c.1	ADAMTS family  [Source:RefSeq peptide;Acc:NP_001024532]	protein_coding	protein_coding
WBGene00000083	F08C6.1c.2	ADAMTS family  [Source:RefSeq peptide;Acc:NP_001024532]	protein_coding	protein_coding
WBGene00000084	D2030.10a	AEX-1; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G5EEU3]	protein_coding	protein_coding
WBGene00000084	D2030.10b	AEX-1; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G5EEU3]	protein_coding	protein_coding
WBGene00000085	T14B1.2	AEX-2; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G5ECD9]	protein_coding	protein_coding
WBGene00000086	C02H7.3a	MAP kinase-activating death domain protein  [Source:UniProtKB/Swiss-Prot;Acc:O02626]	protein_coding	protein_coding
WBGene00000086	C02H7.3b	MAP kinase-activating death domain protein  [Source:UniProtKB/Swiss-Prot;Acc:O02626]	protein_coding	protein_coding
WBGene00000088	F32A7.6		protein_coding	protein_coding
WBGene00000089	Y87G2A.4	Rab27; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G5EBS5]	protein_coding	protein_coding
WBGene00000090	B0334.8a	Phosphatidylinositol 3-kinase age-1  [Source:UniProtKB/Swiss-Prot;Acc:Q94125]	protein_coding	protein_coding
WBGene00000090	B0334.8b	Phosphatidylinositol 3-kinase age-1  [Source:UniProtKB/Swiss-Prot;Acc:Q94125]	protein_coding	protein_coding
WBGene00000092	F32A6.4a	Activator of G protein Signalling  [Source:RefSeq peptide;Acc:NP_741787]	protein_coding	protein_coding
WBGene00000092	F32A6.4b	Activator of G protein Signalling  [Source:RefSeq peptide;Acc:NP_741787]	protein_coding	protein_coding
WBGene00000092	F32A6.4c	Activator of G protein Signalling  [Source:RefSeq peptide;Acc:NP_741787]	protein_coding	protein_coding
WBGene00000093	Y62E10A.5a	AlkylGuanine DNA alkylTransferase  [Source:RefSeq peptide;Acc:NP_001041054]	protein_coding	protein_coding
WBGene00000093	Y62E10A.5b.1	AlkylGuanine DNA alkylTransferase  [Source:RefSeq peptide;Acc:NP_001041054]	protein_coding	protein_coding
WBGene00000093	Y62E10A.5b.2	AlkylGuanine DNA alkylTransferase  [Source:RefSeq peptide;Acc:NP_001041054]	protein_coding	protein_coding
WBGene00000094	F09E5.13	AlkylGuanine DNA alkylTransferase  [Source:RefSeq peptide;Acc:NP_495008]	protein_coding	protein_coding
WBGene00000095	C25A1.11a	Aryl hydrocarbon receptor nuclear translocator homolog  [Source:UniProtKB/Swiss-Prot;Acc:O02219]	protein_coding	protein_coding
WBGene00000095	C25A1.11b	Aryl hydrocarbon receptor nuclear translocator homolog  [Source:UniProtKB/Swiss-Prot;Acc:O02219]	protein_coding	protein_coding
WBGene00000096	C41G7.5a	Aryl hydrocarbon receptor protein 1  [Source:UniProtKB/Swiss-Prot;Acc:O44712]	protein_coding	protein_coding
WBGene00000096	C41G7.5b	Aryl hydrocarbon receptor protein 1  [Source:UniProtKB/Swiss-Prot;Acc:O44712]	protein_coding	protein_coding
WBGene00000097	F58E10.4	Arsenite Inducible Protein  [Source:RefSeq peptide;Acc:NP_506479]	protein_coding	protein_coding
WBGene00000098	K07C11.2.1	Aurora/Ipl1 Related kinase  [Source:RefSeq peptide;Acc:NP_505119]	protein_coding	protein_coding
WBGene00000098	K07C11.2.2	Aurora/Ipl1 Related kinase  [Source:RefSeq peptide;Acc:NP_505119]	protein_coding	protein_coding
WBGene00000099	B0207.4	Aurora/IPL1-related protein kinase 2  [Source:UniProtKB/Swiss-Prot;Acc:O01427]	protein_coding	protein_coding
WBGene00000100	C25A11.4a	Apical Junction Molecule  [Source:RefSeq peptide;Acc:NP_509536]	protein_coding	protein_coding
WBGene00000100	C25A11.4b	Apical Junction Molecule  [Source:RefSeq peptide;Acc:NP_509536]	protein_coding	protein_coding
WBGene00000100	C25A11.4c	Apical Junction Molecule  [Source:RefSeq peptide;Acc:NP_509536]	protein_coding	protein_coding
WBGene00000100	C25A11.4d	Apical Junction Molecule  [Source:RefSeq peptide;Acc:NP_509536]	protein_coding	protein_coding
WBGene00000100	C25A11.4e	Apical Junction Molecule  [Source:RefSeq peptide;Acc:NP_509536]	protein_coding	protein_coding
WBGene00000101	D1022.7a.1	A Kinase Anchor protein  [Source:RefSeq peptide;Acc:NP_001022045]	protein_coding	protein_coding
WBGene00000101	D1022.7a.2	A Kinase Anchor protein  [Source:RefSeq peptide;Acc:NP_001022045]	protein_coding	protein_coding
WBGene00000101	D1022.7b.1	A Kinase Anchor protein  [Source:RefSeq peptide;Acc:NP_001022045]	protein_coding	protein_coding
WBGene00000101	D1022.7b.2	A Kinase Anchor protein  [Source:RefSeq peptide;Acc:NP_001022045]	protein_coding	protein_coding
WBGene00000101	D1022.7c.1	A Kinase Anchor protein  [Source:RefSeq peptide;Acc:NP_001022045]	protein_coding	protein_coding
WBGene00000101	D1022.7c.2	A Kinase Anchor protein  [Source:RefSeq peptide;Acc:NP_001022045]	protein_coding	protein_coding
WBGene00000102	C12D8.10a	Serine/threonine-protein kinase akt-1  [Source:UniProtKB/Swiss-Prot;Acc:Q17941]	protein_coding	protein_coding
WBGene00000102	C12D8.10b	Serine/threonine-protein kinase akt-1  [Source:UniProtKB/Swiss-Prot;Acc:Q17941]	protein_coding	protein_coding
WBGene00000102	C12D8.10c	Serine/threonine-protein kinase akt-1  [Source:UniProtKB/Swiss-Prot;Acc:Q17941]	protein_coding	protein_coding
WBGene00000103	F28H6.1a	Serine/threonine-protein kinase akt-2  [Source:UniProtKB/Swiss-Prot;Acc:Q9XTG7]	protein_coding	protein_coding
WBGene00000103	F28H6.1b	Serine/threonine-protein kinase akt-2  [Source:UniProtKB/Swiss-Prot;Acc:Q9XTG7]	protein_coding	protein_coding
WBGene00000105	F48F7.1a		protein_coding	protein_coding
WBGene00000105	F48F7.1b		protein_coding	protein_coding
WBGene00000106	T07D3.7a		protein_coding	protein_coding
WBGene00000106	T07D3.7b		protein_coding	protein_coding
WBGene00000107	F54D8.3a.1	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_498081]	protein_coding	protein_coding
WBGene00000107	F54D8.3a.2	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_498081]	protein_coding	protein_coding
WBGene00000107	F54D8.3b.1	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_498081]	protein_coding	protein_coding
WBGene00000107	F54D8.3b.2	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_498081]	protein_coding	protein_coding
WBGene00000107	F54D8.3b.3	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_498081]	protein_coding	protein_coding
WBGene00000107	F54D8.3b.4	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_498081]	protein_coding	protein_coding
WBGene00000108	K04F1.15	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_503467]	protein_coding	protein_coding
WBGene00000109	F36H1.6	10-formyltetrahydrofolate dehydrogenase  [Source:RefSeq peptide;Acc:NP_502054]	protein_coding	protein_coding
WBGene00000110	T05H4.13a.1	Aldehyde dehydrogenase  [Source:RefSeq peptide;Acc:NP_741553]	protein_coding	protein_coding
WBGene00000110	T05H4.13a.2	Aldehyde dehydrogenase  [Source:RefSeq peptide;Acc:NP_741553]	protein_coding	protein_coding
WBGene00000110	T05H4.13b.1	Aldehyde dehydrogenase  [Source:RefSeq peptide;Acc:NP_741553]	protein_coding	protein_coding
WBGene00000110	T05H4.13b.2	Aldehyde dehydrogenase  [Source:RefSeq peptide;Acc:NP_741553]	protein_coding	protein_coding
WBGene00000110	T05H4.13c.1	Aldehyde dehydrogenase  [Source:RefSeq peptide;Acc:NP_741553]	protein_coding	protein_coding
WBGene00000110	T05H4.13c.2	Aldehyde dehydrogenase  [Source:RefSeq peptide;Acc:NP_741553]	protein_coding	protein_coding
WBGene00000111	T08B1.3	Aldehyde dehydrogenase  [Source:RefSeq peptide;Acc:NP_503545]	protein_coding	protein_coding
WBGene00000112	F56D12.1a.1	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_493946]	protein_coding	protein_coding
WBGene00000112	F56D12.1a.2	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_493946]	protein_coding	protein_coding
WBGene00000112	F56D12.1a.3	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_493946]	protein_coding	protein_coding
WBGene00000112	F56D12.1b.1	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_493946]	protein_coding	protein_coding
WBGene00000112	F56D12.1b.2	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_493946]	protein_coding	protein_coding
WBGene00000112	F56D12.1b.3	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_493946]	protein_coding	protein_coding
WBGene00000112	F56D12.1c.1	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_493946]	protein_coding	protein_coding
WBGene00000112	F56D12.1c.2	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_493946]	protein_coding	protein_coding
WBGene00000112	F56D12.1c.3	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_493946]	protein_coding	protein_coding
WBGene00000112	F56D12.1d.1	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_493946]	protein_coding	protein_coding
WBGene00000112	F56D12.1d.2	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_493946]	protein_coding	protein_coding
WBGene00000113	F45H10.1a.1	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_001254393]	protein_coding	protein_coding
WBGene00000113	F45H10.1a.2	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_001254393]	protein_coding	protein_coding
WBGene00000113	F45H10.1b	ALdehyde deHydrogenase  [Source:RefSeq peptide;Acc:NP_001254393]	protein_coding	protein_coding
WBGene00000114	F13D12.4a.1	Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P52713]	protein_coding	protein_coding
WBGene00000114	F13D12.4a.2	Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P52713]	protein_coding	protein_coding
WBGene00000114	F13D12.4a.3	Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P52713]	protein_coding	protein_coding
WBGene00000114	F13D12.4b	Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P52713]	protein_coding	protein_coding
WBGene00000115	F01F1.6.1	Putative aldehyde dehydrogenase family 7 member A1 homolog  [Source:UniProtKB/Swiss-Prot;Acc:P46562]	protein_coding	protein_coding
